ResponseID,warmth_5,god_5,god_6,death_5,death_6,elderly_5,power_5,power_6,conservati_5,time_5,purity_5,sweet_5,sexypics_5,gender,religionbinary
R_3z1NfaGpqF6h45T,0,40,48,2,10,80,78,46,34,2,51,5,4,1,0.5
R_3aXeSiSUtdyzFEV,10,12,NA,NA,NA,86,93,50,10,1,29,15,28,1,0.5
R_bHiGn6k1awj9Q21,80,81,100,70,19,100,100,82,69,80,91,30,90,1,0.5
R_etW3QFwdpbVeQ3H,5,10,80,30,NA,80,75,NA,10,10,60,50,10,2,0.5
R_9Rb26iP542vf4e9,75,65,0,0,0,72,94,50,0,54,32,44,16,1,-0.5
R_6sMbWWP1UiZufIN,0,87,15,0,0,62,100,66,53,0,88,26,54,2,0.5
R_eQ0aCYVIIabGAPH,NA,17,13,0,0,100,90,8,8,0,73,0,19,2,-0.5
R_9nPvj0F1yHN1tpb,0,20,57,0,24,85,97,28,9,0,14,62,78,2,-0.5
R_6K9DBZTaDtqhM0Z,NA,34,9,6,49,72,100,60,86,5,77,20,8,1,-0.5
R_cSiI6Xvl9ot7wXj,73,100,100,0,0,87,100,0,100,36,84,0,70,1,-0.5
R_emxPsUfNkyrMQsJ,10,0,0,0,0,90,100,0,0,0,19,0,0,1,-0.5
R_eboEEZaQuJwuVi5,52,13,13,10,21,85,77,5,47,44,28,47,67,1,-0.5
R_8d28Q4ZPJ06P7LL,50,50,65,1,3,81,91,53,61,60,21,16,93,2,-0.5
R_5mXLqpOU6baJOW9,37,50,59,0,0,69,78,21,66,38,65,59,73,2,0.5
R_eIGJppzGzkPo8GV,3,29,48,1,3,59,100,19,46,0,60,38,74,2,0.5
R_3KMSrOzM3ejSj9X,3,87,22,3,1,96,100,97,19,11,32,4,4,2,0.5
R_aaaANLkh7B0JC1D,10,49,47,0,0,100,100,0,27,28,37,25,48,1,0.5
R_enaIaasi6sfxmAZ,9,40,40,NA,10,90,82,60,69,10,61,10,52,2,0.5
R_8kKyAqamUZl6Qol,0,40,2,34,0,41,55,30,8,0,10,0,0,2,-0.5
R_a4aNOzQwk0dvT6d,18,NA,NA,NA,NA,27,90,61,44,35,62,NA,15,1,-0.5
R_0O3jxsJqzDjoy1v,0,0,0,0,0,100,100,51,100,0,54,0,50,1,0.5
R_1BLQt4ky4cLmDZj,59,NA,62,NA,47,79,100,48,53,40,98,NA,54,2,0.5
R_cMC5tlsn8m6KZPT,8,24,30,9,38,69,100,67,65,11,60,11,0,1,-0.5
R_3edf9j9JH8rrsb3,38,78,70,0,4,79,95,74,21,51,64,74,70,2,0.5
R_a4474GptoPSocGp,24,80,43,0,0,68,87,22,11,51,54,28,24,1,0.5
R_4VCjKK87cI50K8Z,7,59,16,6,10,59,86,72,66,25,84,12,10,2,-0.5
R_b2ZkGUflzbTrnXn,0,65,23,0,0,73,88,92,50,28,49,54,36,1,-0.5
R_6K9IcrZoe8SjPO5,80,68,33,0,0,100,100,91,100,1,77,42,100,2,0.5
R_el0uYVsg0e4UoNT,2,71,87,0,31,92,88,27,5,54,85,16,59,1,0.5
R_0TncixLr318FyXb,33,55,49,NA,17,70,43,23,NA,NA,25,22,41,1,-0.5
R_6Sbt8sFGevBKpCt,0,58,58,0,0,43,80,30,29,39,20,0,0,1,0.5
R_2i9u2BhXL0xjnFP,4,70,33,29,18,71,100,61,33,56,34,30,39,1,-0.5
R_2mDocKqg8N211Kl,8,39,8,0,0,69,98,20,18,19,9,17,0,2,-0.5
R_dciJdSWqKVaJmSN,0,31,48,0,0,84,100,66,0,20,61,0,92,1,0.5
R_eFYzbU80s9ObQQB,0,90,100,11,29,30,100,30,0,18,80,0,50,1,0.5
