Rank,Focal Concept,Variable,Median,LL,UL,Group,GroupLabel,panel
13,Power (control and influence over others) - Being in charge,power_5,94.5,92.5,96.5,b,Men,(b) By Gender
12,Elderly people - Slow walking,elderly_5,73,69.03,76,b,Men,(b) By Gender
11,Cleanliness - White,purity_5,54,49,57,b,Men,(b) By Gender
10,Patriotism - Conservatism,conservati_5,50,50,53,b,Men,(b) By Gender
9,Power (control and influence over others) - Self-esteem,power_6,48,46,52,b,Men,(b) By Gender
8,God - Watching,god_6,42,37,47,b,Men,(b) By Gender
7,God - Generosity,god_5,39,32,45,b,Men,(b) By Gender
6,Sexy pictures - Relationship closeness,sexypics_5,33,28,36,b,Men,(b) By Gender
5,Time - Self-reflection,time_5,21.5,17,23,b,Men,(b) By Gender
4,Sugary - Kindness,sweet_5,11,6.5,12.5,b,Men,(b) By Gender
3,Holding something hot - Interpersonal warmth,warmth_5,9,8,12,b,Men,(b) By Gender
2,Death - Generosity,death_5,0,0,0,b,Men,(b) By Gender
1,Death - Selfishness,death_6,0,0,0,b,Men,(b) By Gender
13,Power (control and influence over others) - Being in charge,power_5,97,94,99,c,Women,(b) By Gender
12,Elderly people - Slow walking,elderly_5,79,78,83,c,Women,(b) By Gender
11,Cleanliness - White,purity_5,60,56,69,c,Women,(b) By Gender
10,Patriotism - Conservatism,conservati_5,45,42,54,c,Women,(b) By Gender
9,Power (control and influence over others) - Self-esteem,power_6,46,42,62,c,Women,(b) By Gender
8,God - Watching,god_6,40,32,48,c,Women,(b) By Gender
7,God - Generosity,god_5,45,40,52,c,Women,(b) By Gender
6,Sexy pictures - Relationship closeness,sexypics_5,30,22,36.97,c,Women,(b) By Gender
5,Time - Self-reflection,time_5,20,12,22,c,Women,(b) By Gender
4,Sugary - Kindness,sweet_5,12,5,15,c,Women,(b) By Gender
3,Holding something hot - Interpersonal warmth,warmth_5,6,3,9,c,Women,(b) By Gender
2,Death - Generosity,death_5,0,0,0,c,Women,(b) By Gender
1,Death - Selfishness,death_6,0,0,0,c,Women,(b) By Gender
13,Power (control and influence over others) - Being in charge,power_5,96,95,98,a,All,(a) Overall
12,Elderly people - Slow walking,elderly_5,75,72,78,a,All,(a) Overall
11,Cleanliness - White,purity_5,57,54,62,a,All,(a) Overall
10,Patriotism - Conservatism,conservati_5,48,46,51,a,All,(a) Overall
9,Power (control and influence over others) - Self-esteem,power_6,47,44,51,a,All,(a) Overall
8,God - Watching,god_6,41,37,44,a,All,(a) Overall
7,God - Generosity,god_5,40,33,43,a,All,(a) Overall
6,Sexy pictures - Relationship closeness,sexypics_5,32,27,35,a,All,(a) Overall
5,Time - Self-reflection,time_5,21,17,22,a,All,(a) Overall
4,Sugary - Kindness,sweet_5,11,6,12,a,All,(a) Overall
3,Holding something hot - Interpersonal warmth,warmth_5,8,6,11,a,All,(a) Overall
2,Death - Generosity,death_5,0,0,0,a,All,(a) Overall
1,Death - Selfishness,death_6,0,0,0,a,All,(a) Overall
13,Power (control and influence over others) - Being in charge,power_5,94.5,92,97,e,Non-religious,(c) By Religion
12,Elderly people - Slow walking,elderly_5,76,72,80,e,Non-religious,(c) By Religion
11,Cleanliness - White,purity_5,51,45,52,e,Non-religious,(c) By Religion
10,Patriotism - Conservatism,conservati_5,50,50,53.5,e,Non-religious,(c) By Religion
9,Power (control and influence over others) - Self-esteem,power_6,49,47,54,e,Non-religious,(c) By Religion
8,God - Watching,god_6,37,32.5,44,e,Non-religious,(c) By Religion
7,God - Generosity,god_5,26,22,32,e,Non-religious,(c) By Religion
6,Sexy pictures - Relationship closeness,sexypics_5,33,28,37,e,Non-religious,(c) By Religion
5,Time - Self-reflection,time_5,21.5,17,23,e,Non-religious,(c) By Religion
4,Sugary - Kindness,sweet_5,11,5,13,e,Non-religious,(c) By Religion
3,Holding something hot - Interpersonal warmth,warmth_5,6,2,8,e,Non-religious,(c) By Religion
2,Death - Generosity,death_5,0,0,0,e,Non-religious,(c) By Religion
1,Death - Selfishness,death_6,0,0,0,e,Non-religious,(c) By Religion
13,Power (control and influence over others) - Being in charge,power_5,96.5,94,98,d,Religious,(c) By Religion
12,Elderly people - Slow walking,elderly_5,74,69,78,d,Religious,(c) By Religion
11,Cleanliness - White,purity_5,60,55,63,d,Religious,(c) By Religion
10,Patriotism - Conservatism,conservati_5,46.5,43,53.5,d,Religious,(c) By Religion
9,Power (control and influence over others) - Self-esteem,power_6,45.5,41,51.5,d,Religious,(c) By Religion
8,God - Watching,god_6,48,44,55,d,Religious,(c) By Religion
7,God - Generosity,god_5,56.5,53,63,d,Religious,(c) By Religion
6,Sexy pictures - Relationship closeness,sexypics_5,30.5,23,34,d,Religious,(c) By Religion
5,Time - Self-reflection,time_5,20,12,22,d,Religious,(c) By Religion
4,Sugary - Kindness,sweet_5,14,10,19,d,Religious,(c) By Religion
3,Holding something hot - Interpersonal warmth,warmth_5,9,8,12.5,d,Religious,(c) By Religion
2,Death - Generosity,death_5,0,0,0,d,Religious,(c) By Religion
1,Death - Selfishness,death_6,0,0,0,d,Religious,(c) By Religion
